Company,Symbol,Weight,      Price,Chg,% Chg,S&P 500 Holdings
Copart Inc,CPRT,0.10228,   43.50,-0.94,(-2.10%),
Dow Inc,DOW,0.101685,   52.96,-0.43,(-0.80%),
Moderna Inc,MRNA,0.101611,   104.93,0.79,-0.75%,
Halliburton Co,HAL,0.101498,   42.79,0.15,-0.36%,
Travelers Cos Inc,TRV,0.101209,   162.75,-4.1,(-2.46%),
Idexx Laboratories Inc,IDXX,0.100379,   452.05,1.78,-0.40%,
Corteva Inc,CTVA,0.100051,   52.14,0.27,-0.52%,
Dexcom Inc,DXCM,0.099883,   96.65,1.36,-1.42%,
Paychex Inc,PAYX,0.099841,   112.84,-3.47,(-2.99%),
Biogen Inc,BIIB,0.098772,   251.45,-1.86,(-0.73%),
Centene Corp,CNC,0.098494,   67.90,0.04,-0.06%,
Old Dominion Freight Line,ODFL,0.09845,   404.43,-5.41,(-1.32%),
Kenvue Inc W/i,KVUE,0.098161,   21.20,0.12,-0.55%,
Baker Hughes Co,BKR,0.097181,   36.56,0.1,-0.29%,
P G & E Corp,PCG,0.097103,   17.90,0.6,-3.46%,
Estee Lauder Companies Cl A,EL,0.096974,   155.27,1.07,-0.69%,
Sysco Corp,SYY,0.096227,   70.90,0.08,-0.11%,
Yum Brands Inc,YUM,0.096204,   127.58,0.01,-0.01%,
Prudential Financial Inc,PRU,0.096097,   96.00,-2.91,(-2.94%),
Verisk Analytics Inc,VRSK,0.095738,   235.23,-11,(-4.47%),
Ameriprise Financial Inc,AMP,0.095561,   296.83,-50.3,(-14.48%),
Cognizant Tech Solutions A,CTSH,0.095063,   70.60,0.38,-0.54%,
Constellation Energy,CEG,0.094831,   107.04,-3.7,(-3.34%),
Bank of New York Mellon Corp,BK,0.094446,   44.92,0.12,-0.26%,
Ametek Inc,AME,0.093618,   152.58,0.11,-0.07%,
Agilent Technologies Inc,A,0.09209,   111.94,-0.75,(-0.66%),
Dupont De Nemours Inc,DD,0.091825,   74.74,-0.04,(-0.05%),
Dr Horton Inc,DHI,0.091776,   112.30,-0.89,(-0.79%),
Fidelity National Info Serv,FIS,0.090623,   56.90,-0.36,(-0.63%),
Keurig Dr Pepper Inc,KDP,0.089864,   33.67,0.02,-0.05%,
Otis Worldwide Corp,OTIS,0.089596,   85.70,4.31,-5.29%,
Cummins Inc,CMI,0.089406,   239.79,1.45,-0.61%,
Kinder Morgan Inc,KMI,0.088763,   17.13,0.11,-0.62%,
Rockwell Automation Inc,ROK,0.087648,   300.63,11.9,-4.12%,
L3harris Technologies Inc,LHX,0.087625,   178.50,3.37,-1.92%,
Global Payments Inc,GPN,0.086717,   128.74,5.44,-4.42%,
Costar Group Inc,CSGP,0.086362,   84.03,4.31,-5.41%,
Newmont Corp,NEM,0.086056,   40.58,0.11,-0.26%,
Devon Energy Corp,DVN,0.085766,   49.93,0.43,-0.86%,
Hershey Co,HSY,0.085365,   217.50,5.04,-2.37%,
Xcel Energy Inc,XEL,0.085138,   56.68,-1.32,(-2.27%),
Fastenal Co,FAST,0.084741,   55.15,0.24,-0.44%,
Vici Properties Inc,VICI,0.084672,   31.13,0.28,-0.89%,
Consolidated Edison Inc,ED,0.08465,   92.30,0.73,-0.80%,
Ppg Industries Inc,PPG,0.084113,   144.75,12.26,-9.25%,
United Rentals Inc,URI,0.082791,   468.10,14.48,-3.19%,
Ww Grainger Inc,GWW,0.082735,   650.00,-43.8,(-6.31%),
Republic Services Inc,RSG,0.08248,   149.06,0.1,-0.07%,
Public Service Enterprise Gp,PEG,0.082171,   66.00,4.67,-7.61%,
Oneok Inc,OKE,0.081022,   68.31,0.12,-0.17%,
Kroger Co,KR,0.081009,   46.50,-0.04,(-0.08%),
