Local time,Ask,Bid,AskVolume,BidVolume
04.09.2023 01:14:28.283 GMT+0300,4512.503,4512.031,0.0006,0.0006
04.09.2023 01:14:29.717 GMT+0300,4512.6900000000005,4512.164000000001,0.0006,0.0006
04.09.2023 01:14:48.218 GMT+0300,4512.437,4511.914000000001,0.0006,0.0006
04.09.2023 01:15:00.253 GMT+0300,4512.684,4512.182,0.0006,0.0006
04.09.2023 01:15:02.235 GMT+0300,4512.548,4512.052000000001,0.0006,0.0006
04.09.2023 01:15:04.247 GMT+0300,4512.434,4511.9259999999995,0.0006,0.0006
04.09.2023 01:15:15.577 GMT+0300,4512.3009999999995,4511.784000000001,0.0006,0.0006
04.09.2023 01:15:17.296 GMT+0300,4512.437,4511.92,0.0006,0.0006
04.09.2023 01:15:19.462 GMT+0300,4512.557,4512.034000000001,0.0006,0.0006
04.09.2023 01:15:23.389 GMT+0300,4512.696,4512.173,0.0006,0.0006
04.09.2023 01:15:26.738 GMT+0300,4512.937,4512.4259999999995,0.0006,0.0006
04.09.2023 01:15:27.069 GMT+0300,4512.8009999999995,4512.299,0.0006,0.0006
04.09.2023 01:15:28.240 GMT+0300,4512.9400000000005,4512.417,0.0006,0.0006
04.09.2023 01:15:34.919 GMT+0300,4512.6900000000005,4512.17,0.0006,0.0006
04.09.2023 01:15:38.243 GMT+0300,4512.813,4512.287,0.0006,0.0006
04.09.2023 01:15:48.152 GMT+0300,4512.9490000000005,4512.477,0.0006,0.0006
04.09.2023 01:15:51.094 GMT+0300,4512.816,4512.293,0.0006,0.0006
04.09.2023 01:15:51.451 GMT+0300,4512.693,4512.161,0.0006,0.0006
04.09.2023 01:15:52.085 GMT+0300,4512.753,4512.347000000001,0.0006,0.0006
04.09.2023 01:15:54.972 GMT+0300,4512.633,4512.167,0.0006,0.0006
04.09.2023 01:16:04.974 GMT+0300,4512.443,4511.932,0.0006,0.0006
04.09.2023 01:16:12.993 GMT+0300,4512.178,4511.661,0.0006,0.0006
04.09.2023 01:16:33.508 GMT+0300,4512.431,4511.923,0.0006,0.0006
04.09.2023 01:16:36.224 GMT+0300,4512.187,4511.664000000001,0.0006,0.0006
04.09.2023 01:16:42.475 GMT+0300,4511.943,4511.429,0.0006,0.0006
04.09.2023 01:16:43.829 GMT+0300,4511.693,4511.1759999999995,0.0006,0.0006
04.09.2023 01:16:55.917 GMT+0300,4511.798,4511.293,0.0006,0.0006
04.09.2023 01:16:56.183 GMT+0300,4511.9400000000005,4511.42,0.0006,0.0006
04.09.2023 01:16:56.369 GMT+0300,4511.681,4511.17,0.0006,0.0006
04.09.2023 01:17:08.666 GMT+0300,4511.753,4511.302000000001,0.0006,0.0006
04.09.2023 01:17:09.987 GMT+0300,4511.6900000000005,4511.17,0.0006,0.0006
04.09.2023 01:17:10.483 GMT+0300,4511.9400000000005,4511.4259999999995,0.0006,0.0006
04.09.2023 01:17:12.627 GMT+0300,4511.753,4511.302000000001,0.0006,0.0006
04.09.2023 01:17:19.390 GMT+0300,4511.633,4511.167,0.0006,0.0006
04.09.2023 01:18:17.001 GMT+0300,4511.9490000000005,4511.414000000001,0.0006,0.0006
04.09.2023 01:18:18.383 GMT+0300,4511.6990000000005,4511.164000000001,0.0006,0.0006
04.09.2023 01:18:18.533 GMT+0300,4511.9490000000005,4511.414000000001,0.0006,0.0006
04.09.2023 01:18:20.164 GMT+0300,4511.8009999999995,4511.296,0.0006,0.0006
04.09.2023 01:18:28.568 GMT+0300,4511.934,4511.42,0.0006,0.0006
